dns_server,url,resolution_time_ms
192.168.178.1,google.com,10.29
192.168.178.1,facebook.com,10.31
192.168.178.1,youtube.com,10.0
192.168.178.1,amazon.com,10.5
192.168.178.1,wikipedia.org,10.67
8.8.8.8,google.com,9.19
8.8.8.8,facebook.com,10.15
8.8.8.8,youtube.com,21.47
8.8.8.8,amazon.com,9.89
8.8.8.8,wikipedia.org,10.35
1.1.1.1,google.com,10.17
1.1.1.1,facebook.com,10.2
1.1.1.1,youtube.com,10.1
1.1.1.1,amazon.com,11.1
1.1.1.1,wikipedia.org,10.23
9.9.9.9,google.com,413.07
9.9.9.9,facebook.com,10.42
9.9.9.9,youtube.com,9.5
9.9.9.9,amazon.com,24.84
9.9.9.9,wikipedia.org,377.1
208.67.222.222,google.com,17.07
208.67.222.222,facebook.com,20.14
208.67.222.222,youtube.com,10.0
208.67.222.222,amazon.com,9.56
208.67.222.222,wikipedia.org,98.41
192.168.178.1,google.com,9.96
192.168.178.1,facebook.com,1.95
192.168.178.1,youtube.com,1.92
192.168.178.1,amazon.com,2.97
192.168.178.1,wikipedia.org,2.0
8.8.8.8,google.com,9.48
8.8.8.8,facebook.com,12.28
8.8.8.8,youtube.com,32.37
8.8.8.8,amazon.com,9.69
8.8.8.8,wikipedia.org,100.36
1.1.1.1,google.com,9.7
1.1.1.1,facebook.com,10.09
1.1.1.1,youtube.com,9.98
1.1.1.1,amazon.com,9.47
1.1.1.1,wikipedia.org,9.72
9.9.9.9,google.com,9.93
9.9.9.9,facebook.com,10.2
9.9.9.9,youtube.com,11.92
9.9.9.9,amazon.com,14.8
9.9.9.9,wikipedia.org,10.01
208.67.222.222,google.com,17.32
208.67.222.222,facebook.com,11.38
208.67.222.222,youtube.com,10.03
208.67.222.222,amazon.com,10.48
208.67.222.222,wikipedia.org,16.4
192.168.178.1,google.com,9.72
192.168.178.1,facebook.com,2.02
192.168.178.1,youtube.com,1.85
192.168.178.1,amazon.com,1.86
192.168.178.1,wikipedia.org,2.59
8.8.8.8,google.com,9.59
8.8.8.8,facebook.com,13.08
8.8.8.8,youtube.com,10.23
8.8.8.8,amazon.com,9.17
8.8.8.8,wikipedia.org,10.32
1.1.1.1,google.com,10.81
1.1.1.1,facebook.com,10.45
1.1.1.1,youtube.com,9.66
1.1.1.1,amazon.com,10.1
1.1.1.1,wikipedia.org,10.63
9.9.9.9,google.com,9.56
9.9.9.9,facebook.com,28.37
9.9.9.9,youtube.com,10.68
9.9.9.9,amazon.com,10.25
9.9.9.9,wikipedia.org,9.39
208.67.222.222,google.com,11.44
208.67.222.222,facebook.com,17.9
208.67.222.222,youtube.com,30.24
208.67.222.222,amazon.com,9.87
208.67.222.222,wikipedia.org,16.62
192.168.178.1,google.com,1.96
192.168.178.1,facebook.com,1.98
192.168.178.1,youtube.com,2.0
192.168.178.1,amazon.com,1.78
192.168.178.1,wikipedia.org,2.1
8.8.8.8,google.com,10.74
8.8.8.8,facebook.com,9.98
8.8.8.8,youtube.com,9.82
8.8.8.8,amazon.com,9.85
8.8.8.8,wikipedia.org,27.2
1.1.1.1,google.com,9.94
1.1.1.1,facebook.com,10.29
1.1.1.1,youtube.com,10.11
1.1.1.1,amazon.com,10.42
1.1.1.1,wikipedia.org,10.0
9.9.9.9,google.com,9.58
9.9.9.9,facebook.com,14.48
9.9.9.9,youtube.com,9.68
9.9.9.9,amazon.com,9.85
9.9.9.9,wikipedia.org,9.67
208.67.222.222,google.com,10.66
208.67.222.222,facebook.com,9.54
208.67.222.222,youtube.com,9.7
208.67.222.222,amazon.com,9.5
208.67.222.222,wikipedia.org,98.25
192.168.178.1,google.com,1.99
192.168.178.1,facebook.com,1.75
192.168.178.1,youtube.com,1.99
192.168.178.1,amazon.com,2.75
192.168.178.1,wikipedia.org,1.98
8.8.8.8,google.com,10.23
8.8.8.8,facebook.com,12.72
8.8.8.8,youtube.com,10.17
8.8.8.8,amazon.com,10.18
8.8.8.8,wikipedia.org,28.56
1.1.1.1,google.com,10.21
1.1.1.1,facebook.com,10.81
1.1.1.1,youtube.com,9.74
1.1.1.1,amazon.com,9.62
1.1.1.1,wikipedia.org,9.59
9.9.9.9,google.com,550.86
9.9.9.9,facebook.com,9.69
9.9.9.9,youtube.com,9.64
9.9.9.9,amazon.com,10.97
9.9.9.9,wikipedia.org,9.95
208.67.222.222,google.com,17.74
208.67.222.222,facebook.com,11.2
208.67.222.222,youtube.com,9.49
208.67.222.222,amazon.com,10.33
208.67.222.222,wikipedia.org,16.46
192.168.178.1,google.com,7.62
192.168.178.1,facebook.com,1.83
192.168.178.1,youtube.com,1.89
192.168.178.1,amazon.com,1.93
192.168.178.1,wikipedia.org,1.78
8.8.8.8,google.com,9.78
8.8.8.8,facebook.com,9.96
8.8.8.8,youtube.com,11.48
8.8.8.8,amazon.com,9.67
8.8.8.8,wikipedia.org,9.42
1.1.1.1,google.com,10.46
1.1.1.1,facebook.com,10.19
1.1.1.1,youtube.com,9.89
1.1.1.1,amazon.com,10.9
1.1.1.1,wikipedia.org,10.38
9.9.9.9,google.com,9.85
9.9.9.9,facebook.com,9.82
9.9.9.9,youtube.com,210.02
9.9.9.9,amazon.com,9.87
9.9.9.9,wikipedia.org,9.5
208.67.222.222,google.com,17.94
208.67.222.222,facebook.com,9.24
208.67.222.222,youtube.com,9.58
208.67.222.222,amazon.com,9.63
208.67.222.222,wikipedia.org,16.87
192.168.178.1,google.com,2.01
192.168.178.1,facebook.com,1.8
192.168.178.1,youtube.com,1.92
192.168.178.1,amazon.com,1.91
192.168.178.1,wikipedia.org,1.81
8.8.8.8,google.com,9.89
8.8.8.8,facebook.com,12.05
8.8.8.8,youtube.com,9.67
8.8.8.8,amazon.com,9.66
8.8.8.8,wikipedia.org,9.89
1.1.1.1,google.com,10.23
1.1.1.1,facebook.com,10.41
1.1.1.1,youtube.com,9.98
1.1.1.1,amazon.com,9.76
1.1.1.1,wikipedia.org,10.29
9.9.9.9,google.com,59.46
9.9.9.9,facebook.com,15.21
9.9.9.9,youtube.com,9.9
9.9.9.9,amazon.com,10.63
9.9.9.9,wikipedia.org,9.74
208.67.222.222,google.com,17.84
208.67.222.222,facebook.com,11.3
208.67.222.222,youtube.com,9.62
208.67.222.222,amazon.com,10.53
208.67.222.222,wikipedia.org,97.6
192.168.178.1,google.com,1.79
192.168.178.1,facebook.com,1.77
192.168.178.1,youtube.com,1.75
192.168.178.1,amazon.com,1.96
192.168.178.1,wikipedia.org,10.24
8.8.8.8,google.com,11.36
8.8.8.8,facebook.com,37.67
8.8.8.8,youtube.com,10.04
8.8.8.8,amazon.com,9.34
8.8.8.8,wikipedia.org,10.42
1.1.1.1,google.com,10.74
1.1.1.1,facebook.com,10.98
1.1.1.1,youtube.com,10.41
1.1.1.1,amazon.com,10.73
1.1.1.1,wikipedia.org,10.4
9.9.9.9,google.com,9.72
9.9.9.9,facebook.com,9.63
9.9.9.9,youtube.com,9.43
9.9.9.9,amazon.com,9.92
9.9.9.9,wikipedia.org,36.14
208.67.222.222,google.com,17.95
208.67.222.222,facebook.com,9.6
208.67.222.222,youtube.com,9.9
208.67.222.222,amazon.com,9.71
208.67.222.222,wikipedia.org,18.87
192.168.178.1,google.com,3.35
192.168.178.1,facebook.com,1.76
192.168.178.1,youtube.com,1.94
192.168.178.1,amazon.com,2.07
192.168.178.1,wikipedia.org,1.86
8.8.8.8,google.com,10.41
8.8.8.8,facebook.com,12.58
8.8.8.8,youtube.com,9.94
8.8.8.8,amazon.com,9.49
8.8.8.8,wikipedia.org,11.21
1.1.1.1,google.com,10.33
1.1.1.1,facebook.com,10.23
1.1.1.1,youtube.com,9.93
1.1.1.1,amazon.com,10.78
1.1.1.1,wikipedia.org,10.15
9.9.9.9,google.com,11.5
9.9.9.9,facebook.com,9.69
9.9.9.9,youtube.com,626.48
9.9.9.9,amazon.com,36.04
9.9.9.9,wikipedia.org,10.64
208.67.222.222,google.com,17.78
208.67.222.222,facebook.com,9.79
208.67.222.222,youtube.com,9.68
208.67.222.222,amazon.com,9.78
208.67.222.222,wikipedia.org,9.25
192.168.178.1,google.com,1.78
192.168.178.1,facebook.com,1.69
192.168.178.1,youtube.com,2.03
192.168.178.1,amazon.com,1.86
192.168.178.1,wikipedia.org,1.86
8.8.8.8,google.com,9.76
8.8.8.8,facebook.com,10.59
8.8.8.8,youtube.com,11.56
8.8.8.8,amazon.com,10.11
8.8.8.8,wikipedia.org,10.26
1.1.1.1,google.com,10.14
1.1.1.1,facebook.com,9.93
1.1.1.1,youtube.com,9.79
1.1.1.1,amazon.com,10.49
1.1.1.1,wikipedia.org,9.69
9.9.9.9,google.com,9.58
9.9.9.9,facebook.com,9.87
9.9.9.9,youtube.com,9.37
9.9.9.9,amazon.com,9.86
9.9.9.9,wikipedia.org,9.38
208.67.222.222,google.com,17.47
208.67.222.222,facebook.com,45.39
208.67.222.222,youtube.com,10.26
208.67.222.222,amazon.com,9.46
208.67.222.222,wikipedia.org,97.33
192.168.178.1,google.com,1.97
192.168.178.1,facebook.com,1.98
192.168.178.1,youtube.com,1.88
192.168.178.1,amazon.com,2.03
192.168.178.1,wikipedia.org,1.81
8.8.8.8,google.com,10.11
8.8.8.8,facebook.com,10.13
8.8.8.8,youtube.com,9.94
8.8.8.8,amazon.com,9.34
8.8.8.8,wikipedia.org,9.97
1.1.1.1,google.com,10.3
1.1.1.1,facebook.com,10.51
1.1.1.1,youtube.com,10.26
1.1.1.1,amazon.com,9.92
1.1.1.1,wikipedia.org,10.23
9.9.9.9,google.com,9.91
9.9.9.9,facebook.com,13.12
9.9.9.9,youtube.com,135.2
9.9.9.9,amazon.com,9.98
9.9.9.9,wikipedia.org,10.36
208.67.222.222,google.com,17.88
208.67.222.222,facebook.com,44.95
208.67.222.222,youtube.com,9.6
208.67.222.222,amazon.com,10.02
208.67.222.222,wikipedia.org,9.7
192.168.178.1,google.com,1.92
192.168.178.1,facebook.com,1.91
192.168.178.1,youtube.com,2.03
192.168.178.1,amazon.com,1.83
192.168.178.1,wikipedia.org,1.82
8.8.8.8,google.com,10.15
8.8.8.8,facebook.com,10.49
8.8.8.8,youtube.com,18.48
8.8.8.8,amazon.com,10.01
8.8.8.8,wikipedia.org,10.4
1.1.1.1,google.com,10.02
1.1.1.1,facebook.com,9.83
1.1.1.1,youtube.com,10.16
1.1.1.1,amazon.com,11.65
1.1.1.1,wikipedia.org,10.46
9.9.9.9,google.com,9.83
9.9.9.9,facebook.com,10.06
9.9.9.9,youtube.com,10.27
9.9.9.9,amazon.com,9.85
9.9.9.9,wikipedia.org,9.21
208.67.222.222,google.com,11.48
208.67.222.222,facebook.com,13.69
208.67.222.222,youtube.com,10.08
208.67.222.222,amazon.com,10.64
208.67.222.222,wikipedia.org,10.21
192.168.178.1,google.com,1.94
192.168.178.1,facebook.com,1.82
192.168.178.1,youtube.com,2.07
192.168.178.1,amazon.com,2.07
192.168.178.1,wikipedia.org,1.99
8.8.8.8,google.com,10.14
8.8.8.8,facebook.com,35.87
8.8.8.8,youtube.com,10.01
8.8.8.8,amazon.com,9.23
8.8.8.8,wikipedia.org,11.02
1.1.1.1,google.com,10.46
1.1.1.1,facebook.com,10.02
1.1.1.1,youtube.com,10.13
1.1.1.1,amazon.com,10.18
1.1.1.1,wikipedia.org,9.71
9.9.9.9,google.com,9.27
9.9.9.9,facebook.com,10.08
9.9.9.9,youtube.com,9.53
9.9.9.9,amazon.com,9.93
9.9.9.9,wikipedia.org,9.82
208.67.222.222,google.com,17.75
208.67.222.222,facebook.com,9.35
208.67.222.222,youtube.com,9.27
208.67.222.222,amazon.com,9.9
208.67.222.222,wikipedia.org,16.61
192.168.178.1,google.com,2.21
192.168.178.1,facebook.com,1.69
192.168.178.1,youtube.com,1.76
192.168.178.1,amazon.com,2.07
192.168.178.1,wikipedia.org,2.31
8.8.8.8,google.com,11.48
8.8.8.8,facebook.com,13.05
8.8.8.8,youtube.com,10.45
8.8.8.8,amazon.com,9.51
8.8.8.8,wikipedia.org,9.66
1.1.1.1,google.com,10.11
1.1.1.1,facebook.com,10.56
1.1.1.1,youtube.com,12.03
1.1.1.1,amazon.com,10.03
1.1.1.1,wikipedia.org,10.08
9.9.9.9,google.com,10.03
9.9.9.9,facebook.com,14.51
9.9.9.9,youtube.com,164.37
9.9.9.9,amazon.com,38.1
9.9.9.9,wikipedia.org,15.61
208.67.222.222,google.com,21.9
208.67.222.222,facebook.com,10.87
208.67.222.222,youtube.com,18.22
208.67.222.222,amazon.com,9.93
208.67.222.222,wikipedia.org,9.56
192.168.178.1,google.com,2.12
192.168.178.1,facebook.com,9.98
192.168.178.1,youtube.com,9.98
192.168.178.1,amazon.com,1.86
192.168.178.1,wikipedia.org,1.94
8.8.8.8,google.com,10.09
8.8.8.8,facebook.com,12.06
8.8.8.8,youtube.com,10.13
8.8.8.8,amazon.com,9.58
8.8.8.8,wikipedia.org,9.95
1.1.1.1,google.com,9.61
1.1.1.1,facebook.com,9.97
1.1.1.1,youtube.com,10.11
1.1.1.1,amazon.com,10.3
1.1.1.1,wikipedia.org,10.53
9.9.9.9,google.com,9.6
9.9.9.9,facebook.com,9.75
9.9.9.9,youtube.com,9.89
9.9.9.9,amazon.com,13.09
9.9.9.9,wikipedia.org,9.83
208.67.222.222,google.com,16.94
208.67.222.222,facebook.com,9.58
208.67.222.222,youtube.com,9.38
208.67.222.222,amazon.com,9.83
208.67.222.222,wikipedia.org,9.55
192.168.178.1,google.com,1.91
192.168.178.1,facebook.com,1.79
192.168.178.1,youtube.com,1.89
192.168.178.1,amazon.com,1.79
192.168.178.1,wikipedia.org,1.85
8.8.8.8,google.com,9.91
8.8.8.8,facebook.com,19.0
8.8.8.8,youtube.com,10.0
8.8.8.8,amazon.com,9.6
8.8.8.8,wikipedia.org,10.66
1.1.1.1,google.com,10.34
1.1.1.1,facebook.com,10.09
1.1.1.1,youtube.com,10.51
1.1.1.1,amazon.com,11.19
1.1.1.1,wikipedia.org,9.83
9.9.9.9,google.com,9.57
9.9.9.9,facebook.com,9.51
9.9.9.9,youtube.com,9.9
9.9.9.9,amazon.com,10.01
9.9.9.9,wikipedia.org,424.05
208.67.222.222,google.com,11.26
208.67.222.222,facebook.com,9.78
208.67.222.222,youtube.com,10.35
208.67.222.222,amazon.com,9.91
208.67.222.222,wikipedia.org,16.94
192.168.178.1,google.com,1.98
192.168.178.1,facebook.com,1.91
192.168.178.1,youtube.com,1.86
192.168.178.1,amazon.com,1.88
192.168.178.1,wikipedia.org,1.76
8.8.8.8,google.com,9.99
8.8.8.8,facebook.com,37.24
8.8.8.8,youtube.com,12.18
8.8.8.8,amazon.com,9.47
8.8.8.8,wikipedia.org,10.74
1.1.1.1,google.com,10.13
1.1.1.1,facebook.com,10.01
1.1.1.1,youtube.com,10.0
1.1.1.1,amazon.com,10.11
1.1.1.1,wikipedia.org,10.17
9.9.9.9,google.com,9.32
9.9.9.9,facebook.com,307.42
9.9.9.9,youtube.com,9.29
9.9.9.9,amazon.com,9.62
9.9.9.9,wikipedia.org,9.74
208.67.222.222,google.com,30.67
208.67.222.222,facebook.com,9.44
208.67.222.222,youtube.com,9.81
208.67.222.222,amazon.com,9.99
208.67.222.222,wikipedia.org,9.88
192.168.178.1,google.com,1.96
192.168.178.1,facebook.com,1.84
192.168.178.1,youtube.com,2.02
192.168.178.1,amazon.com,1.96
192.168.178.1,wikipedia.org,1.82
8.8.8.8,google.com,9.95
8.8.8.8,facebook.com,10.22
8.8.8.8,youtube.com,9.83
8.8.8.8,amazon.com,9.74
8.8.8.8,wikipedia.org,9.96
1.1.1.1,google.com,9.64
1.1.1.1,facebook.com,10.0
1.1.1.1,youtube.com,10.29
1.1.1.1,amazon.com,10.32
1.1.1.1,wikipedia.org,10.6
9.9.9.9,google.com,9.58
9.9.9.9,facebook.com,32.55
9.9.9.9,youtube.com,38.33
9.9.9.9,amazon.com,9.42
9.9.9.9,wikipedia.org,35.36
208.67.222.222,google.com,10.75
208.67.222.222,facebook.com,44.77
208.67.222.222,youtube.com,9.88
208.67.222.222,amazon.com,9.6
208.67.222.222,wikipedia.org,9.23
192.168.178.1,google.com,1.92
192.168.178.1,facebook.com,1.81
192.168.178.1,youtube.com,1.98
192.168.178.1,amazon.com,2.03
192.168.178.1,wikipedia.org,1.92
8.8.8.8,google.com,10.25
8.8.8.8,facebook.com,9.92
8.8.8.8,youtube.com,9.91
8.8.8.8,amazon.com,9.77
8.8.8.8,wikipedia.org,9.94
1.1.1.1,google.com,10.36
1.1.1.1,facebook.com,11.69
1.1.1.1,youtube.com,10.42
1.1.1.1,amazon.com,10.4
1.1.1.1,wikipedia.org,10.09
9.9.9.9,google.com,10.74
9.9.9.9,facebook.com,9.81
9.9.9.9,youtube.com,9.57
9.9.9.9,amazon.com,10.05
9.9.9.9,wikipedia.org,40.03
208.67.222.222,google.com,18.07
208.67.222.222,facebook.com,14.62
208.67.222.222,youtube.com,10.51
208.67.222.222,amazon.com,9.74
208.67.222.222,wikipedia.org,9.75
192.168.178.1,google.com,1.89
192.168.178.1,facebook.com,1.85
192.168.178.1,youtube.com,1.9
192.168.178.1,amazon.com,2.54
192.168.178.1,wikipedia.org,1.85
8.8.8.8,google.com,10.39
8.8.8.8,facebook.com,9.82
8.8.8.8,youtube.com,10.05
8.8.8.8,amazon.com,9.67
8.8.8.8,wikipedia.org,9.81
1.1.1.1,google.com,9.51
1.1.1.1,facebook.com,10.96
1.1.1.1,youtube.com,11.67
1.1.1.1,amazon.com,9.66
1.1.1.1,wikipedia.org,9.69
9.9.9.9,google.com,10.53
9.9.9.9,facebook.com,9.54
9.9.9.9,youtube.com,9.99
9.9.9.9,amazon.com,9.53
9.9.9.9,wikipedia.org,9.91
208.67.222.222,google.com,31.4
208.67.222.222,facebook.com,14.49
208.67.222.222,youtube.com,10.13
208.67.222.222,amazon.com,9.22
208.67.222.222,wikipedia.org,10.08
